FIPS,County,Total_Population_2019_est,Kemp_Votes,Abrams_Votes,Total_Population_2016,White,Black_or_African_American,American_Indian_or_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_or_more_races,POC_sum_non_white,0_to_4_2016,5_to_9_2016,10_to_14_2016,15_to_19_2016,20_to_24_2016,25_to_29_2016,30_to_34_2016,35_to_39_2016,40_to_44_2016,45_to_49_2016,50_to_54_2016,55_to_59_2016,60_to_64_2016,65_to_69_2016,70_to_74_2016,75_to_79_2016,80_to_84_2016,85_or_older_2016,Median_Age,Cases_4.20,Deaths_4.20,Recovered_4.20,Active_4.20,2018_GDP_1000s_Chained_Dollars,Per_Capita_Personal_Income_2018
13001,Appling,18386,5428,1358,18428,14318,3577,104,169,35,225,4110,1313,1300,1244,1199,1081,1149,1053,1094,1100,1142,1214,1330,1170,1100,746,559,332,302,38.9,21,0,0,21,1417429,33268
13003,Atkinson,8165,1876,637,8273,6370,1450,113,78,91,171,1903,660,640,643,607,522,540,471,556,533,570,530,536,434,387,256,197,125,66,35.5,5,0,0,5,236695,30511
13005,Bacon,11164,3321,489,11372,9173,1886,39,70,22,182,2199,785,840,831,764,705,747,682,749,803,716,649,696,718,624,397,323,193,150,37.4,19,1,0,18,357666,33080
13007,Baker,3038,753,535,3150,1619,1445,12,36,2,36,1531,147,180,190,168,168,189,173,163,192,191,250,279,254,228,138,97,70,73,45.1,20,2,0,18,87742,38666
13009,Baldwin,44890,7735,7793,45144,24467,19142,155,800,31,549,20677,2279,2494,2501,4308,5715,2781,2470,2453,2264,2576,2905,2920,2750,2396,1666,1175,770,721,35,132,4,0,128,1237235,33203
13011,Banks,19234,6150,645,18397,17230,532,100,238,28,269,1167,1020,1100,1247,1266,1025,1081,985,1161,1251,1288,1368,1319,1189,1147,868,534,330,218,41.3,15,0,0,15,432928,36276
13013,Barrow,83240,20162,6900,77126,63014,9075,396,2883,68,1690,14112,5472,5873,5872,4987,4469,5568,5803,5652,5230,5291,5102,4634,4017,3534,2373,1511,900,838,35.4,99,3,0,96,1884951,36898
13015,Bartow,107738,28425,8524,103807,88584,11491,629,964,97,2042,15223,6685,6914,7495,6854,6358,7171,6571,6591,6804,7667,7628,7144,5982,5124,3770,2313,1446,1290,37.9,256,24,0,232,4495356,38298
13017,Ben_Hill,16700,3539,1983,17243,10610,6140,114,148,11,220,6633,1200,1325,1202,1111,1010,1124,1040,1010,958,1043,1107,1165,1153,957,716,482,353,287,38,19,0,0,19,481148,31436
13019,Berrien,19397,5314,900,18993,16468,2016,70,200,11,228,2525,1203,1264,1371,1196,1060,1177,1140,1124,1110,1302,1337,1399,1124,1083,816,575,383,329,39.8,10,0,0,10,354815,31535
